@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
504,'2024/02/29 01:14:38:088',8,343.82251,145.897552,354.345703,137.917847,335.865814,137.300888,368.105957,147.0849,321.829285,146.646194,386.849335,200.537247,307.027832,203.065216,400.95401,271.928589,292.978546,273.886169,409.56781,340.231415,293.27951,339.125244,378.699799,327.009552,319.027649,326.578156,367.27359,433.375824,331.620239,430.540955,0,0,0,0,1,0,0,0,0,?
505,'2024/02/29 01:14:38:111',8,344.336884,145.801224,354.488831,137.907089,336.063293,137.257858,367.906738,147.249268,321.75238,146.335175,387.089294,200.570526,307.012329,203.111908,401.012085,271.993958,292.995636,273.888306,409.584686,340.234283,293.242798,339.141083,378.798828,327.02533,319.102753,326.591187,367.452454,431.719391,331.640564,430.566345,0,0,0,0,1,0,0,0,0,?
506,'2024/02/29 01:14:38:158',8,344.349823,146.012909,354.483459,138.032684,336.352997,137.453873,367.981232,147.146179,321.887878,146.768188,387.028442,200.533615,306.978333,203.05098,401.014343,271.953247,293.022644,273.723969,409.74411,339.978149,293.220917,338.936768,378.828278,327.033936,319.004547,326.585663,367.355591,431.88266,331.372498,430.141388,0,0,0,0,1,0,0,0,0,?
507,'2024/02/29 01:14:38:181',8,344.42218,145.929504,354.528229,137.683441,336.38385,137.276688,368.105652,146.858994,321.887146,146.670685,386.99408,200.472229,307.111328,202.839035,400.964661,271.972656,293.01062,273.60025,409.710388,339.811279,293.25116,338.906372,378.800781,326.968292,318.981812,326.495209,367.024811,433.931427,331.547821,430.31604,0,0,0,0,1,0,0,0,0,?
508,'2024/02/29 01:14:38:224',8,344.5047,145.778839,354.763672,137.527832,336.361053,137.204758,367.945496,146.755142,321.819336,146.576904,386.892731,200.478058,307.029694,202.878342,400.959412,271.906708,292.989075,273.404419,409.563416,340.139191,293.277405,338.935974,378.807983,326.952972,319.062531,326.481354,367.177551,430.814301,331.582062,430.171143,0,0,0,0,1,0,0,0,0,?
509,'2024/02/29 01:14:38:246',8,344.416962,145.785889,354.725769,137.495438,336.255127,137.189255,367.707794,146.489807,321.788788,146.618103,386.849854,200.479553,306.804169,203.102737,400.867767,271.733765,293.022522,273.32431,409.629547,340.212799,293.249756,338.877655,378.903473,327.018982,318.973236,326.429779,367.27655,431.716888,331.580017,430.49942,0,0,0,0,1,0,0,0,0,?
510,'2024/02/29 01:14:38:285',8,344.437225,145.467056,354.657867,137.406296,336.083984,137.128403,367.561951,146.367126,321.743195,146.584534,386.872803,200.418259,306.713287,203.078522,400.9505,271.856018,292.917511,273.174835,409.79953,339.835236,293.224152,338.862671,378.955505,326.940308,319.135834,326.234253,366.941193,431.601959,331.455017,429.999908,0,0,0,0,1,0,0,0,0,?
511,'2024/02/29 01:14:38:314',8,344.506226,145.476746,354.680237,137.36972,336.226318,137.116364,367.710602,146.250687,321.807983,146.69014,387.033875,200.372543,306.970917,202.750687,400.938568,271.833374,292.924194,273.029236,409.707275,339.489502,293.030396,338.781525,379.086151,326.69577,319.272186,325.945618,367.038849,430.867889,331.308563,430.002045,0,0,0,0,1,0,0,0,0,?
512,'2024/02/29 01:14:38:367',8,344.657837,145.369263,354.720123,137.39032,336.449707,137.027832,367.656891,146.012482,321.682678,146.666367,387.049316,200.371857,306.709534,202.907867,400.950134,271.842255,292.804413,273.012024,409.750488,339.513031,293.001312,338.873657,379.117188,326.773132,318.846802,326.046692,367.064331,430.70575,331.552002,430.74585,0,0,0,0,1,0,0,0,0,?
513,'2024/02/29 01:14:38:384',8,344.53479,145.415466,354.649719,137.404968,335.935852,137.083252,367.418243,146.108429,321.697083,146.695313,387.001343,200.470154,306.756134,202.869507,401.108765,272.205627,292.742096,272.962311,409.552155,339.958252,292.942657,338.880981,378.81485,326.916046,318.931854,325.947754,367.00708,430.452179,331.675659,430.843231,0,0,0,0,1,0,0,0,0,?
514,'2024/02/29 01:14:38:413',8,344.381348,145.467392,354.343231,137.396271,335.741699,137.091919,367.344696,146.0923,321.647461,146.766815,386.81958,200.368225,306.753113,202.85997,400.867279,271.640839,292.702209,272.8974,409.737885,339.663177,292.863342,338.581268,378.941803,326.926147,318.899933,325.918884,366.979309,431.139832,331.561951,430.737305,0,0,0,0,1,0,0,0,0,?
515,'2024/02/29 01:14:38:443',8,344.320374,145.365921,354.259705,137.334564,335.469849,137.081909,367.457031,145.690384,321.629791,146.397339,386.872681,200.362839,306.93692,202.628632,400.828888,271.744324,292.759338,272.955048,409.862976,340.16272,292.837494,338.559845,379.150208,326.839081,318.831848,325.817383,366.96106,431.0784,331.577515,431.018738,0,0,0,0,1,0,0,0,0,?
516,'2024/02/29 01:14:38:483',8,344.398438,145.083328,354.342346,137.13559,335.564301,137.031097,367.479706,145.594162,321.658691,146.800812,386.815979,200.273758,306.921844,202.52713,400.847198,271.586609,292.759369,273.074829,409.774445,339.748535,292.843231,338.621948,378.760406,326.664185,318.695557,325.638977,367.00769,430.718109,331.453888,431.466736,0,0,0,0,1,0,0,0,0,?
517,'2024/02/29 01:14:38:512',8,344.327271,145.013,354.17511,137.015244,335.387451,137.013535,367.51062,145.520126,321.63446,146.823456,386.907654,200.295837,306.887451,202.474686,400.763519,271.399445,292.734039,273.062775,409.67392,339.914673,292.796906,338.46814,378.721924,326.576874,318.608246,325.551117,366.737396,430.114014,331.442902,430.983215,0,0,0,0,1,0,0,0,0,?
518,'2024/02/29 01:14:38:547',8,344.301819,145.169449,354.186737,137.038254,335.176575,136.962265,367.4776,145.404449,321.694885,146.799896,386.758301,200.369797,306.81134,202.581421,400.78537,271.636749,292.767883,272.983826,409.399597,340.293365,292.813599,338.619507,378.670319,326.930817,318.595032,326.024719,366.689331,431.185669,331.109253,430.489655,0,0,0,0,1,0,0,0,0,?
