@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute left_class {0,1,2,3,4,5,6,7,8,9,10}
@attribute right_class {0,1,2,3,4,5,6,7,8,9,10}
@attribute right_vel numeric

@data
11,'2024/02/25 11:51:36:138',1,511.65448,219.909409,492.011658,204.787933,476.367554,183.453888,466.52179,167.528397,466.486206,144.517914,499.987823,145.892487,497.661194,116.650772,494.71759,99.04541,495.015106,86.237701,514.884277,146.722748,480.983734,141.868912,480.66156,168.044815,487.410156,176.007721,526.173096,151.355728,491.289734,152.402466,490.842529,175.640594,497.660461,182.511292,539.656311,163.328674,507.051666,161.529175,501.612305,176.707047,507.234924,183.989838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,?
12,'2024/02/25 11:51:36:241',1,510.88089,212.722198,491.046906,198.015579,475.39209,176.448334,465.690948,159.799347,466.443665,136.254135,499.25,139.098877,496.481934,109.846085,494.103668,91.323509,494.693481,77.358688,513.356384,140.069733,480.88382,134.380066,480.635864,159.174164,486.318024,167.822571,525.416077,144.966568,491.318909,145.480438,490.758484,168.43306,496.756836,175.273422,539.660583,156.52002,506.726501,152.544769,501.455139,168.86702,506.209778,176.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,?
13,'2024/02/25 11:51:36:348',1,510.129639,209.952332,489.802277,194.004791,475.616913,172.527557,466.115723,156.067108,466.817688,132.904099,499.658752,135.151398,496.600586,106.872879,493.501221,88.618614,494.095825,74.463646,514.316101,136.320877,480.226593,131.10672,479.980103,156.044373,486.940918,163.583908,525.770203,141.630905,490.519409,141.526657,490.124023,164.873489,497.582031,170.445465,540.177917,153.656479,506.802521,150.193924,500.771912,166.478775,507.161743,171.888565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,?
14,'2024/02/25 11:51:36:451',1,512.335632,228.680557,492.351685,213.114853,478.503113,193.152527,469.539612,176.139557,470.447266,152.435989,502.154297,156.656342,499.6315,127.526291,496.165497,108.938995,496.343048,94.281952,516.25177,157.92395,485.588318,151.134109,485.191772,174.893707,491.755615,184.422791,528.885864,163.121506,496.793549,160.858017,495.725891,182.821457,502.829559,190.522705,542.564819,172.850906,512.911926,168.848083,506.878601,184.124908,513.075745,192.843597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,?
15,'2024/02/25 11:51:36:553',1,514.745361,245.540482,493.937378,230.233414,479.923737,209.306259,472.399292,191.707886,473.768433,169.42099,503.253204,172.912476,501.434753,143.106201,498.159546,125.682388,498.080933,112.121086,517.77832,175.036179,488.684387,168.36937,487.629883,191.763275,492.76532,201.585052,531.63031,180.623535,499.867371,179.091675,497.880371,200.58168,503.938721,208.794159,545.672119,192.83461,515.474548,187.470078,508.946106,202.452621,513.266785,212.108139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,?
16,'2024/02/25 11:51:36:653',1,518.290466,276.849579,498.788452,259.802277,485.01651,238.939941,476.445923,219.946091,479.627197,196.945633,507.660858,201.764542,505.964478,171.091232,502.905853,153.098434,503.614685,139.387146,522.284485,203.818848,494.370361,197.080246,492.912476,221.686127,497.637756,231.083969,535.37085,209.449478,505.843079,208.134781,503.806915,230.373459,509.38623,237.510056,549.383423,222.331406,521.59906,217.712341,514.643494,232.056656,519.175293,239.963348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,?
17,'2024/02/25 11:51:36:759',1,524.192383,310.233002,505.639313,292.667419,493.717499,270.966644,485.792389,251.569458,493.023224,232.179794,518.252808,235.565125,516.314209,205.670212,514.4599,188.623901,515.227539,175.782135,535.681458,239.477005,506.150543,232.146606,503.057373,254.69046,507.702942,265.101074,547.527344,247.122284,517.571533,243.205658,513.599121,263.188934,518.927673,271.666687,561.603516,261.885559,534.146973,254.127106,525.407471,266.57785,528.603943,275.052246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,?
18,'2024/02/25 11:51:36:864',1,526.677551,334.868713,510.236542,316.476471,497.497864,292.956482,490.45575,272.220886,498.823395,253.099167,524.171387,257.522827,522.596375,227.397675,522.188843,208.821457,525.550964,195.007034,541.425171,261.067535,511.947754,254.444992,509.114197,276.978638,513.285583,287.561676,553.981079,270.258636,522.866882,267.593109,519.091248,288.485504,523.978516,296.558868,568.497192,286.459747,539.914795,279.510498,530.336304,292.475372,533.771606,302.218384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,?
19,'2024/02/25 11:51:36:969',1,524.942749,353.834076,506.922668,335.848236,495.47052,312.937103,489.865356,293.641815,496.77536,273.491791,523.547241,278.226654,521.235901,245.702652,520.735168,228.102844,523.892822,214.222183,540.595764,282.595154,511.411438,275.184875,507.042358,297.454407,510.641785,307.229248,552.809875,291.597321,521.900513,289.925171,516.864136,309.700592,522.203003,316.944122,568.347839,308.686188,540.460693,301.478638,529.227539,313.734894,533.530579,320.964355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,?
20,'2024/02/25 11:51:37:074',1,519.475952,372.953461,501.6008,353.829376,490.110107,331.742279,483.696777,312.190643,490.94519,292.860809,518.373352,296.713837,515.80481,264.489288,515.096497,247.099258,518.674744,233.744263,535.376343,300.754272,505.954712,294.023407,500.712006,316.955811,504.22113,326.006866,547.047485,309.284271,516.835632,309.176544,510.915039,329.168945,515.544556,335.066803,562.117554,328.619232,534.015564,321.662323,522.79364,333.059387,525.197327,338.786591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,?
